KEY,English,German
SlotHair,Hair,Haare
SlotHairColor,Hair Color,Haarfarbe
SlotLongHairOne,Long Hair,Lange Haare
SlotBeard,Beard,Bart
SlotBeardColor,Beard Color,Bartfarbe
SlotTop,Top,Oberteil
SlotTopColor,Top Color,Oberteilfarbe
SlotShirtOne,Shirt 1,Shirt 1
SlotShirtTwo,Shirt 2,Shirt 2
SlotTShirtOne,Tshirt 1,Tshirt 1
SlotTrousersSkirts,Trousers/Skirts,Hose/Rock
SlotTrousersSkirtsColor,Trousers/Skirts Color,Hose/Rock Farbe
SlotJeansOne,Jeans 1,Jeans 1
SlotUnderware,Underware,Unterwäsche
SlotUnderwareColor,Underware Color,Unterwäschefarbe
SlotUnderwareOne,Variation 1,Variante 1
SlotEyes,Eyes,Augen
SlotEyesColor,Eyes Color,Augenfarbe
SlotLips,Lips,Lippen
SlotLipsColor,Lips Color,Lippenfarbe
